table_name,table_type,column_name,units,total_rows,count,missing_count,missing_pct,material_count,min_val,max_val,mean_val,median_val,std_val,iqr_val,mad_val
legacy_dielectric,table,wavelength_nm,nm,21,3,18,85.71,21.0,633.0,633.0,633.0,633.0,0.0,0.0,0.0
legacy_dielectric,table,frequency_hz,Hz,21,21,0,0.0,21.0,0.0,300000000000000.0,42857142857571.43,1000.0,107570574839916.14,1000.0,1000.0
legacy_dielectric,table,energy_ev,eV,21,0,21,100.0,21.0,,,,,,,
legacy_dielectric,table,dielectric_real,dimensionless,21,21,0,0.0,21.0,-24.0,86.0,12.733333333333333,3.9,26.922468930863925,9.1,5.9
legacy_dielectric,table,dielectric_imag,dimensionless,21,6,15,71.43,21.0,0.01,20.7,3.808333333333333,0.30000000000000004,8.293627473347634,1.145,0.275
legacy_dielectric,table,temperature_C,°C,21,21,0,0.0,21.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0
legacy_dielectrics,table,frequency_hz,Hz,9,9,0,0.0,9.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0
legacy_dielectrics,table,temperature_C,°C,9,9,0,0.0,9.0,20.0,25.0,23.88888888888889,25.0,2.204792759220492,0.0,0.0
legacy_dielectrics,table,real_permittivity,dimensionless,9,9,0,0.0,9.0,2.1,80.1,13.722222222222221,3.5,25.120697531009053,6.800000000000001,1.4
legacy_dielectrics,table,imag_permittivity,dimensionless,9,3,6,66.67,9.0,0.0,0.05,0.02,0.01,0.026457513110645908,0.025,0.01
legacy_materials,table,molecular_weight,g/mol,23,23,0,0.0,,18.015,66432.0,3117.7422421739143,81.38,13812.822201915298,96.37728499999999,29.383999999999993
legacy_materials,table,density_g_cm3,g/cm³,23,23,0,0.0,,0.789,19.32,3.4359999999999995,1.32,4.320508461238835,3.035,0.3500000000000001
legacy_optical_nk,table,wavelength_nm,nm,2819,2819,0,0.0,23.0,191.0,3000.0,1124.5825115289108,964.4665330661321,648.7989011144546,838.4428857715429,392.05130260521037
legacy_optical_nk,table,n,dimensionless,2819,2819,0,0.0,23.0,0.13,6.709,1.5013536487373444,1.4736973759128427,0.3710079586659903,0.09130514065134099,0.046755936965280354
legacy_optical_nk,table,k,dimensionless,2819,650,2169,76.94,23.0,0.0,13.78,0.405628884107199,5.2023192789135825e-05,1.320788101613513,0.00048221809289676924,5.193350213527135e-05
legacy_optical_nk,table,temperature_C,°C,2819,1569,1250,44.34,23.0,19.850000000000023,25.0,20.148279158699832,19.850000000000023,1.0166362834047402,0.25,0.0
legacy_pubchem_data,table,MW,g/mol,17,17,0,0.0,,18.015,66432.0,4168.590974705882,78.14,16057.439241889642,55.87199999999999,29.727999999999994
legacy_pubchem_data,table,XLogP,dimensionless,17,5,12,70.59,,-1.4,13.5,2.18,-0.5,6.345628416476968,0.5,0.4
legacy_pubchem_data,table,HBondDonors,count,17,8,9,52.94,,0.0,2.0,0.5,0.0,0.7559289460184544,1.0,0.0
legacy_pubchem_data,table,HBondAcceptors,count,17,8,9,52.94,,0.0,8.0,2.0,1.5,2.5634797778466227,1.25,0.5
legacy_pubchem_data,table,RotatableBonds,count,17,8,9,52.94,,0.0,40.0,5.125,0.0,14.095972069049676,0.25,0.0
legacy_pubchem_data,table,TPSA,Å²,17,8,9,52.94,,0.0,111.0,30.3875,27.15,36.76875371834079,36.599999999999994,19.75
legacy_viscoelasticity,table,frequency_hz,Hz,11,11,0,0.0,9.0,0.0,1.0,0.9090909090909091,1.0,0.30151134457776363,0.0,0.0
legacy_viscoelasticity,table,temperature_C,°C,11,11,0,0.0,9.0,20.0,25.0,24.09090909090909,25.0,2.0225995873897267,0.0,0.0
legacy_viscoelasticity,table,storage_modulus_pa,Pa,11,11,0,0.0,9.0,0.0,116000000000.0,11364636363.636364,1000000.0,34730815631.864235,3000000000.0,1000000.0
legacy_viscoelasticity,table,loss_modulus_pa,Pa,11,10,1,9.09,9.0,0.0,150000000.0,40110000.0,50000.0,65754500.47968833,75250000.0,50000.0
legacy_viscoelasticity,table,viscosity_mpa_s,mPa·s,11,7,4,36.36,9.0,0.89,80.0,21.421799999999998,1.987,33.71360343857259,31.4622,1.097
materials,table,molecular_weight,g/mol,23,23,0,0.0,23.0,18.015,66432.0,3117.7422421739143,81.38,13812.822201915298,96.37728499999999,29.383999999999993
mechanical_properties,table,storage_modulus,Pa,11,11,0,0.0,9.0,0.0,116000000000.0,11364636363.636364,1000000.0,34730815631.864235,3000000000.0,1000000.0
mechanical_properties,table,loss_modulus,Pa,11,10,1,9.09,9.0,0.0,150000000.0,40110000.0,50000.0,65754500.47968833,75250000.0,50000.0
mechanical_properties,table,temperature_c,°C,11,11,0,0.0,9.0,20.0,25.0,24.09090909090909,25.0,2.0225995873897267,0.0,0.0
mechanical_properties,table,frequency_hz,Hz,11,11,0,0.0,9.0,0.0,1.0,0.9090909090909091,1.0,0.30151134457776363,0.0,0.0
optical_dispersion,table,wavelength_nm,nm,2819,2819,0,0.0,23.0,191.0,3000.0,1124.5825115289108,964.4665330661321,648.7989011144546,838.4428857715429,392.05130260521037
optical_dispersion,table,n,dimensionless,2819,2819,0,0.0,23.0,0.13,6.709,1.5013536487373444,1.4736973759128427,0.3710079586659903,0.09130514065134099,0.046755936965280354
optical_dispersion,table,k,dimensionless,2819,650,2169,76.94,23.0,0.0,13.78,0.405628884107199,5.2023192789135825e-05,1.320788101613513,0.00048221809289676924,5.193350213527135e-05
optical_dispersion,table,temperature_c,°C,2819,1569,1250,44.34,23.0,19.850000000000023,25.0,20.148279158699832,19.850000000000023,1.0166362834047402,0.25,0.0
physical_properties,table,density_g_cm3,g/cm³,167,23,144,86.23,23.0,0.789,19.32,3.4359999999999995,1.32,4.320508461238835,3.035,0.3500000000000001
physical_properties,table,xray_sld,Å⁻²,167,114,53,31.74,23.0,7.556398086204237e-06,0.00013149958483173516,2.802482854657475e-05,1.165475741136168e-05,3.135883102333912e-05,2.457347021962263e-05,2.7747163336898166e-06
physical_properties,table,neutron_sld,Å⁻²,167,114,53,31.74,23.0,-5.60996759557702e-07,5.728294429764093e-06,1.798270346669131e-06,1.4111619128033947e-06,1.7187280395690665e-06,3.2402531580253295e-06,1.3480974745443913e-06
physical_properties,table,dielectric_constant,dimensionless,167,30,137,82.04,23.0,-24.0,86.0,13.030000000000001,3.8499999999999996,25.96479247511641,8.100000000000001,4.65
physical_properties,table,temperature_c,°C,167,30,137,82.04,23.0,20.0,25.0,24.666666666666668,25.0,1.268540658512312,0.0,0.0
