idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,materialclass,selection_key,density_temperature_c,density_citation_notes
58,Diethyl phthalate,C12H14O4,,6781.0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,FLKPEMZONWLCSK-UHFFFAOYSA-N,84-66-2,222.24,,,,,,,8048.0,,,,,False,organic,diethyl_phthalate,,,Querry-IR,,,,,,,,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (84-66-2); PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: CAMEO Chemicals '1.12 at 68 °F (USCG, 1999) - Dense' vs PAC Chemical Database, U.S.  '1.232 @ 14°C'; SLD: no density available, xray/neutron SLD left NULL; [Querry-IR] 633nm outside n range of organic/C12H14O4 - diethyl phthalate/nk/Querry-IR.yml; additional dataset Querry1987-NIR: n(633 nm)=None; 2 datasets loaded; n_633/k_633 columns are the primary (Querry1987-IR, widest span covering 633 nm)",,,,,,,,,,liquid,C12H14O4,,
59,2-(Diisopropylamino)ethanol,C8H19NO,,7313.0,CC(C)N(CCO)C(C)C,ZYWUVGFIXPNBDL-UHFFFAOYSA-N,96-80-0,145.24,,,,,0.826,literature,8048.0,7.936530201765866,0.012438144128952862,-0.09369385623657676,7.85478223196379e-05,False,organic,diisopropylaminoethanol,,,Myers,,,,,,,,"pubchem: 12 CAS numbers in PUG-View record, took first/primary (96-80-0); density 0.826 g/cm3 at 25 degC from PAC Chemical Database, U.S. Department of Energy via PubChem ('0.826 @25 °C'); single record: no second PubChem record to check it against; [Myers] 633nm outside n range of organic/C8H19NO - diisopropylaminoethanol/nk/Myers.yml; refractiveindex.info about.yml for this book lists the formula C2H6O (a copy error); the catalog title, folder name and data identify the compound; the book's about.yml lists ethanol's names and formula (a copy error); the catalog title, folder and data are DIPA (n = 1.43 at 2 um, where the same paper's ethanol page gives 1.31)",,,,,,"PAC Chemical Database, U.S. Department of Energy via PubChem CID 7313: density of 2-(Diisopropylamino)ethanol",,,,liquid,C8H19NO,25.0,PubChem record text: '0.826 @25 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/7313
60,Acetonitrile,C2H3N,,6342.0,CC#N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,75-05-8,41.05,,,,,0.786,literature,8048.0,7.170983279755308,0.012204039529876684,1.3180727091688382,9.313761272463553e-05,False,organic,acetonitrile,,,Chang,,1.3414005683754584,,,,,,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (75-05-8); density 0.786 g/cm3 at 20 degC from PAC Chemical Database, U.S. Department of Energy via PubChem ('0.786 @ 20°C'); consistent with 1 other record(s): CAMEO Chemicals '0.787 at 68 °F (USCG, 1999) - Less'; additional dataset Moutzouris2013 (26.85 degC): n(633 nm)=1.339341522772212; additional dataset Kozma2005 (19.85 degC): n(633 nm)=1.3407512911113355; additional dataset Myers2018 (25.85 degC): n(633 nm)=None; 4 datasets loaded; n_633/k_633 columns are the primary (Chang2024, widest span covering 633 nm); [Kozma] the page text says 22 degC but its CONDITIONS field says 19.85 degC (stored, as for every page); a refractiveindex.info inconsistency",,,,,,"PAC Chemical Database, U.S. Department of Energy via PubChem CID 6342: density of Acetonitrile",,,,liquid,C2H3N,20.0,PubChem record text: '0.786 @ 20°C'. https://pubchem.ncbi.nlm.nih.gov/compound/6342
61,Trichloroacetonitrile,C2Cl3N,,11011.0,C(#N)C(Cl)(Cl)Cl,DRUIESSIVFYOMK-UHFFFAOYSA-N,545-06-2,144.38,,,,,1.440264,literature,8048.0,12.049014039910135,0.36101192552522193,3.087340269381976,0.0017107988081586174,False,organic,trichloroacetonitrile,,,Chang,,1.434577601522766,,,,,,"pubchem: 13 CAS numbers in PUG-View record, took first/primary (545-06-2); density 1.44026 g/cm3 at 25 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('1.4403 at 25 °C/4 °C; 1.4223 at 35 °C/4 °C'); consistent with 1 other record(s): CAMEO Chemicals '1.4403 at 77 °F (NTP, 1992) - Dens'",,,,,,Hazardous Substances Data Bank (HSDB) via PubChem CID 11011: density of Trichloroacetonitrile,,,,liquid,C2Cl3N,25.0,PubChem record text: '1.4403 at 25 °C/4 °C; 1.4223 at 35 °C/4 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/11011
62,Dimethyl sulfoxide,C2H6OS,,679.0,CS(=O)C,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,67-68-5,78.14,,,,,,,8048.0,,,,,False,organic,dimethyl_sulfoxide,,,Li,,1.4768276759615284,,,,,,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (67-68-5); PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: Hazardous Substances Data Ba '1.100 at 20 °C/4 °C' vs PAC Chemical Database, U.S.  '1.101 @25 °C'; SLD: no density available, xray/neutron SLD left NULL; additional dataset Kozma2005 (19.85 degC): n(633 nm)=1.4748873147315464; 2 datasets loaded; n_633/k_633 columns are the primary (Li2022, widest span covering 633 nm); [Kozma] the page text says 22 degC but its CONDITIONS field says 19.85 degC (stored, as for every page); a refractiveindex.info inconsistency",,,,,,,,,,liquid,C2H6OS,,
63,"N,N-Dimethylformamide",C3H7NO,,6228.0,CN(C)C=O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,68-12-2,73.09,,,,,0.944476,literature,8048.0,8.802126161713026,0.01773283058032921,0.6940173416409339,9.17247680399188e-05,False,organic,dimethylformamide,,,Li,,1.4299631740277083,,,,,,"pubchem: 24 CAS numbers in PUG-View record, took first/primary (68-12-2); density 0.944476 g/cm3 at 25 degC from Hazardous Substances Data Bank (HSDB) via PubChem ('0.9445 at 25 °C/4 °C'); consistent with 1 other record(s): PAC Chemical Database, U.S.  '0.9455 @25 °C'",,,,,,"Hazardous Substances Data Bank (HSDB) via PubChem CID 6228: density of N,N-Dimethylformamide",,,,liquid,C3H7NO,25.0,PubChem record text: '0.9445 at 25 °C/4 °C'. https://pubchem.ncbi.nlm.nih.gov/compound/6228
64,Dimethyl methylphosphonate,C3H9O3P,,12958.0,COP(=O)(C)OC,VONWDASPFIQPDY-UHFFFAOYSA-N,756-79-6,124.08,,,,,,,8048.0,,,,,False,organic,dimethyl_methylphosphonate,,,Querry-IR,,,,,,,,"pubchem: 15 CAS numbers in PUG-View record, took first/primary (756-79-6); PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: CAMEO Chemicals '1.1596 at 77 °F (NTP, 1992) - Dens' vs Hazardous Substances Data Ba '1.1507 g/cu cm at 20 °C'; Hazardous Substances Data Ba '1.1507 g/cu cm at 20 °C' vs PAC Chemical Database, U.S.  '1.168 @ 20°C'; SLD: no density available, xray/neutron SLD left NULL; [Querry-IR] 633nm outside n range of organic/C3H9O3P - dimethyl methylphosphonate/nk/Querry-IR.yml; additional dataset Myers2018 (25.85 degC): n(633 nm)=None; additional dataset Querry1987-NIR: n(633 nm)=None; 3 datasets loaded; n_633/k_633 columns are the primary (Querry1987-IR, widest span covering 633 nm)",,,,,,,,,,liquid,C3H9O3P,,
65,Diethyl sulfite,C4H10O3S,,12197.0,CCOS(=O)OCC,NVJBFARDFTXOTO-UHFFFAOYSA-N,623-81-4,138.19,,,,,,,8048.0,,,,,False,organic,diethyl_sulfite,,,Querry,,1.442,1e-06,,,,,"pubchem: 9 CAS numbers in PUG-View record, took first/primary (623-81-4); no PubChem density (>= 3 significant digits, stated temperature) within 10 degC of 20 degC (records: []); SLD: no density available, xray/neutron SLD left NULL",,,,,,,,,,liquid,C4H10O3S,,
66,Diisopropyl methylphosphonate,C7H17O3P,,3073.0,CC(C)OP(=O)(C)OC(C)C,WOAFDHWYKSOANX-UHFFFAOYSA-N,1445-75-6,180.18,,,,,,,8048.0,,,,,False,organic,diisopropyl_methylphosphonate,,,Querry-IR,,,,,,,,"pubchem: 12 CAS numbers in PUG-View record, took first/primary (1445-75-6); no PubChem density (>= 3 significant digits, stated temperature) within 10 degC of 20 degC (records: []); SLD: no density available, xray/neutron SLD left NULL; [Querry-IR] 633nm outside n range of organic/C7H17O3P - diisopropyl methylphosphonate/nk/Querry-IR.yml; additional dataset Querry1987-NIR: n(633 nm)=None; 2 datasets loaded; n_633/k_633 columns are the primary (Querry1987-IR, widest span covering 633 nm)",,,,,,,,,,liquid,C7H17O3P,,
67,Cinnamaldehyde,C9H8O,,637511.0,C1=CC=C(C=C1)/C=C/C=O,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,104-55-2,132.16,,,,,,,8048.0,,,,,False,organic,cinnamaldehyde,,,Rheims,,1.6133214889602636,,,,,,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (104-55-2); no PubChem density (>= 3 significant digits, stated temperature) within 10 degC of 23.85 degC (records: []); SLD: no density available, xray/neutron SLD left NULL",,,,,,,,,,liquid,C9H8O,,
68,L-Tyrosine,C9H11NO3,,6057.0,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,OUYCCCASQSFEME-QMMMGPOBSA-N,60-18-4,181.19,,,,,,,8048.0,,,,,False,organic,tyrosine,,,Leite,,,,,,,,"pubchem: 15 CAS numbers in PUG-View record, took first/primary (60-18-4); no PubChem density (>= 3 significant digits, stated temperature) within 10 degC of 20 degC (records: []); SLD: no density available, xray/neutron SLD left NULL; [Leite] 633nm outside n range of organic/C9H11NO3 - tyrosine/nk/Leite.yml; measured as a film",,,,,,,,,,biomolecule,C9H11NO3,,
69,Urea,CH4N2O,,1176.0,C(=O)(N)N,XSQUKJJJFZCRTK-UHFFFAOYSA-N,57-13-6,60.056,,,,,,,8048.0,,,,,False,organic,urea,,,Rosker-o,o-ray,1.4886305753384375,,e-ray,1.6029199616381016,,Rosker-e,"pubchem: 26 CAS numbers in PUG-View record, took first/primary (57-13-6); PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: CAMEO Chemicals '1.34 at 68 °F (USCG, 1999) - Dense' vs Hazardous Substances Data Ba '1.3230 @ 20 °C/4 °C'; Hazardous Substances Data Ba '1.3230 @ 20 °C/4 °C' vs PAC Chemical Database, U.S.  '1.335 @25 °C'; SLD: no density available, xray/neutron SLD left NULL; single crystal, uniaxial (o/e)",,,,,,,,,,biomolecule,CH4N2O,,
70,Lactose monohydrate,C12H24O12,,104938.0,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O.O,WSVLPVUVIUVCRA-KPKNDVKVSA-N,64044-51-5,360.31,,,,,,,8048.0,,,,,False,organic,lactose_monohydrate,,,Juntunen,,,,,,,,"pubchem: 11 CAS numbers in PUG-View record, took first/primary (64044-51-5); no PubChem density (>= 3 significant digits, stated temperature) within 10 degC of 22.85 degC (records: []); SLD: no density available, xray/neutron SLD left NULL; [Juntunen] 633nm outside n range of organic/C12H24O12 - lactose monohydrate/nk/Juntunen.yml; measured as a powder",,,,,,,,,,biomolecule,C12H24O12,,
71,"DNA (sodium salt, calf thymus)",,,,,,,,,,,,,,8048.0,,,,,,other,DNA,,,Inagaki,,,,,,,,"no single molecular formula (biomacromolecule): no PubChem identity, density or SLD; [Inagaki] 633nm outside n range of other/human body/DNA/nk/Inagaki.yml; dry film; a biopolymer with no single molecular formula",,,,,,,,,,biomacromolecule,DNA,,
72,Silk fibroin (Bombyx mori),,,,,,,,,,,,,,8048.0,,,,,,other,Bombyx_mori,,,Perotto,,1.5589836688233083,0.0001722731,,,,,"no single molecular formula (biomacromolecule): no PubChem identity, density or SLD; additional dataset Perotto2017-uncrystallized: n(633 nm)=1.5428534102681344; additional dataset Perotto2017-crystallized: n(633 nm)=1.5474567652893483; additional dataset Bucciarelli2018-FPP_FA_Ex: n(633 nm)=1.550345337598249; additional dataset Bucciarelli2018-FPP_FA_Unex: n(633 nm)=1.5479664675287295; additional dataset Bucciarelli2018-rSF_FA: n(633 nm)=1.5425949136273476; additional dataset Bucciarelli2018-rSF_H2O: n(633 nm)=1.5449772198162468; additional dataset Bucciarelli2018-SPP_FA_Ex: n(633 nm)=1.5414656166301155; additional dataset Bucciarelli2018-SPP_FA_Unex: n(633 nm)=1.542467762356721; additional dataset Bucciarelli2018-SN_FA: n(633 nm)=1.5539054756357766; 10 datasets loaded; n_633/k_633 columns are the primary (Perotto2017, widest span covering 633 nm); fibroin films; a protein with no single molecular formula",,,,,,,,,,biomacromolecule,silk-Bm,,
73,Silk fibroin (Antheraea mylitta),,,,,,,,,,,,,,8048.0,,,,,,other,Antheraea_mylitta,,,Perotto,,1.5311907961907631,8.847544e-05,,,,,"no single molecular formula (biomacromolecule): no PubChem identity, density or SLD",,,,,,,,,,biomacromolecule,silk-Am,,
74,Silk fibroin (Samia ricini),,,,,,,,,,,,,,8048.0,,,,,,other,Samia_ricini,,,Perotto,,1.4895369227948312,0.0008301024,,,,,"no single molecular formula (biomacromolecule): no PubChem identity, density or SLD",,,,,,,,,,biomacromolecule,silk-Sr,,
75,Silk fibroin (Antheraea assamensis),,,,,,,,,,,,,,8048.0,,,,,,other,Antheraea_assamensis,,,Perotto,,1.5164772183378412,0.0004673158,,,,,"no single molecular formula (biomacromolecule): no PubChem identity, density or SLD",,,,,,,,,,biomacromolecule,silk-Aa,,
