idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_page_primary,axis_primary,process_condition_primary,n_633,k_633,flags,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,process_condition_axis2,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,process_condition_axis3
72,Arsenic trisulfide,As2S3,amorphous,71586773.0,S1[As]2S[As]1S2,UKUVVAMSXXBMRX-UHFFFAOYSA-N,1303-33-9,246.0,True,,,,3.2,literature,8048.0,24.96729427128827,0.8263422903810541,1.6998264481686955,0.0002306753097103895,False,main,As2S3,Rodney,,,2.606235189598016,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (1303-33-9); no MP structure match. Density = 3.2 g/cm3 (literature: AMTIR-6 (Amorphous Materials, Inc.) product datasheet for amorphous As40S60 glass -- 'Density 3.2 gms/cm3'. Cross-validated: the same datasheet cites 'Malitson, Rodney, King, J. Opt. Soc. Amer. 48, 633 (1958)' for its own refractive index table -- the exact paper backing RI.info's 'Rodney' optical dataset used here, so density and optical constants trace to the same physical glass state.). Verify before use.; RI.info default dataset is amorphous/glass",,,,,,,AMTIR-6 (As2S3) product datasheet,"Amorphous Materials, Inc.",,,,,,,
73,Cadmium sulfide,CdS,greenockite,14783.0,S=[Cd],CJOBVZJTOIVNNF-UHFFFAOYSA-N,68859-25-6,144.48,True,mp-672,P6_3mc (#186),0.0,4.7022848002774404,MP_DFT,8048.0,35.62136079095398,2.915587791101324,1.5047407250901192,0.1373859503703476,False,main,CdS,Ninomiya-o,o-ray,,2.261078694158076,0.043170848797250874,"pubchem: 13 CAS numbers in PUG-View record, took first/primary (68859-25-6)",e-ray,2.281978694158076,0.07113363917525774,Ninomiya-e,,,,,,,,,,,
74,Gallium sulfide,GaS,beta-GaS (2H),,,,,,False,mp-2507,P6_3/mmc (#194),0.0,3.775576281211821,MP_DFT,8048.0,28.986770268591947,0.851379404281672,2.2640325019978964,0.00020375724731017526,False,main,GaS,Kato-o,o-ray,,2.7151659538272668,,"pubchem: formula mismatch (target=GaS, pubchem=Ga2S3) -- pubchem fields NULLed",e-ray,2.360253450660867,,Kato-e,,,,,,,,,,,
75,Germanium disulfide,GeS2,,82816.0,S=[Ge]=S,YIZVROFXIVWAAZ-UHFFFAOYSA-N,12025-34-2,136.8,True,mp-572892,P2_1/c (#14),0.0,2.7686840503790178,MP_DFT,8048.0,21.841906506134233,0.6942277709122194,1.6922134477898212,0.00011053374464944593,False,main,GeS2,Slavich-alpha,alpha-axis,,2.29735,0.0,"pubchem: 5 CAS numbers in PUG-View record, took first/primary (12025-34-2); polymorph_ambiguity: no pre-verified expected space group for this material -- took lowest energy_above_hull MP entry, please confirm polymorph match against RI.info data",beta-axis,2.38486,0.0,Slavich-beta,,,,,,,gamma-axis,1.97382,,Slavich-gamma,
76,Mercury(II) sulfide (cinnabar),HgS,cinnabar,10220267.0,[S-2].[Hg+2],LGZXYFMMLRYXLK-UHFFFAOYSA-N,1344-48-5,232.66,True,mp-9252,P3_221 (#154),0.0038805250000009117,8.176,experimental lattice params,8048.0,55.128339105725985,5.137019364080776,3.268048875177355,0.02194199757224913,False,main,HgS,Bond-o,o-ray,,2.8853013634686575,,"pubchem: 6 CAS numbers in PUG-View record, took first/primary (1344-48-5); density overridden from MP_DFT (6.9952 g/cm3) to experimental value (8.176 g/cm3): experimental (mineralogical): trigonal cinnabar, a=4.145(2) A, c=9.496(2) A, Z=3, specific gravity 8.176 (P3_121 #152 setting; mp-9252's P3_221 #154 is the enantiomorphic mirror of the same physical structure) -- both MP DFT relaxations diverge from this by 10-14%, so the citable experimental value is used instead.",e-ray,3.2324630637069593,,Bond-e,,,Cinnabar: Mineral Data (Handbook of Mineralogy),Mineral Data Publishing,,2005.0,,,,,
77,Lead(II) sulfide (galena),PbS,rock salt,14819.0,S=[Pb],XCAUINMIESBTBL-UHFFFAOYSA-N,1314-87-0,239.0,True,mp-21276,Fm-3m (#225),0.0,7.445972223397738,MP_DFT,8048.0,49.96427032085641,5.009453525183316,2.2957100337816994,3.653427981301437e-05,False,main,PbS,Zemel,,,,,"pubchem: 4 CAS numbers in PUG-View record, took first/primary (1314-87-0); [Zemel] 633nm outside n range of main/PbS/nk/Zemel.yml",,,,,,,,,,,,,,,
78,Zinc sulfide,ZnS,sphalerite,9833931.0,[S-2].[Zn+2],DRDVZXDWVBGGMH-UHFFFAOYSA-N,1314-98-3,97.4,True,mp-10695,F-43m (#216),0.0001462457142853424,4.1406497307704075,MP_DFT,8048.0,32.28886931500197,0.9043112704270417,2.1821187646722975,0.00011670952081618412,False,main,ZnS,Ozaki,,,2.368742253521127,0.03449067605633803,"pubchem: 11 CAS numbers in PUG-View record, took first/primary (1314-98-3)",,,,,,,,,,,,,,,
79,Titanium nitride,TiN,rock salt,93091.0,N#[Ti],NRTOMJZYCJJWKI-UHFFFAOYSA-N,11116-16-8,61.874,True,mp-492,Fm-3m (#225),0.0,5.386845385005554,bulk_elemental_approximation,8048.0,43.25263009642637,2.7868074941109833,3.1405379247107086,0.0011649420343898416,False,main,TiN,Pfluger,,,1.3516884373488147,2.760982099661345,"pubchem: 9 CAS numbers in PUG-View record, took first/primary (11116-16-8); density relabeled bulk_elemental_approximation: no RI.info page for TiN states a measured film density; every entry is an explicit thin film (sputtered/ALD/evaporated), so MP's bulk-crystal DFT density is a stand-in, not a verified value for this sample.",,,,,,,,,,,,,,,
80,Vanadium nitride,VN,rock salt,90570.0,N#[V],SKKMWRVAJNPLFY-UHFFFAOYSA-N,24646-85-3,64.948,True,mp-925,Fm-3m (#225),0.1901050299999998,6.146479816336307,bulk_elemental_approximation,8048.0,48.357160394722364,3.5519741949138495,5.081910397650296,0.0011062262923190879,False,main,VN,Pfluger,,,2.3740832123850995,2.4985195936139335,"pubchem: 5 CAS numbers in PUG-View record, took first/primary (24646-85-3); density relabeled bulk_elemental_approximation: no RI.info page for VN states a measured film density; every entry is an explicit thin film (sputtered/ALD/evaporated), so MP's bulk-crystal DFT density is a stand-in, not a verified value for this sample.",,,,,,,,,,,,,,,
81,Europium sulfide,EuS,rock salt,,,,,,,mp-20587,Fm-3m (#225),0.0,6.005077638371176,bulk_elemental_approximation,8048.0,38.98634390393435,6.7215802608938695,1.9664298407797496,0.24310989800291927,False,main,EuS,Meretska,,deposition:evaporated;thickness:100nm,2.141,0.043,"pubchem: not found by name; density relabeled bulk_elemental_approximation: no RI.info page for EuS states a measured film density; every entry is an explicit thin film (sputtered/ALD/evaporated), so MP's bulk-crystal DFT density is a stand-in, not a verified value for this sample.",,,,,,,,,,,,,,,
