idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,materialclass,selection_key
1,Aluminium phosphate (berlinite),AlPO4,,64655.0,[O-]P(=O)([O-])[O-].[Al+3],ILRRQNADMUWWFW-UHFFFAOYSA-K,7784-30-7,121.953,True,mp-5331,P3_121 (#152),0.0,2.621511594063003,MP_DFT,8048.0,22.152146287645152,0.2964672594806113,4.115841932421599,1.453516138620727e-05,False,main,AlPO4,400.0,2600.0,Bond-o,o-ray,1.523376,,e-ray,1.532311,,Bond-e,"pubchem: 15 CAS numbers in PUG-View record, took first/primary (7784-30-7); MP candidates (evidence): mp-5331 P3_121 (#152) hull=0.0000eV rho=2.622 nsites=18; mp-3955 P3_221 (#154) hull=0.0001eV rho=2.614 nsites=18; mp-1019513 P2/c (#13) hull=0.0022eV rho=2.641 nsites=36; mp-7848 I-4 (#82) hull=0.0067eV rho=2.178 nsites=6; mp-5724 P2_1 (#4) hull=0.0075eV rho=2.211 nsites=12; mp-4051 C222_1 (#20) hull=0.0077eV rho=2.335 nsites=12; density = MP DFT (calculated, not measured) for the ambient structure berlinite (P3_121), mp-5331, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; birefringent (trigonal, quartz-like)",,,,,,,,,,phosphate,AlPO4
2,Calcium sulfate (anhydrite),CaSO4,,24497.0,[O-]S(=O)(=O)[O-].[Ca+2],OSGAYBCDTDRGGQ-UHFFFAOYSA-L,7778-18-9,136.14,True,mp-4406,Cmcm (#63),0.0,2.9787166822786637,MP_DFT,8048.0,25.59348730754537,0.7418377896818348,4.053453906205725,3.5205354758664176e-05,False,main,CaSO4,2500.0,55555.6,Querry-α,alpha-axis,,,beta-axis,,,Querry-β,"pubchem: 15 CAS numbers in PUG-View record, took first/primary (7778-18-9); MP candidates (evidence): mp-4406 Cmcm (#63) hull=0.0000eV rho=2.979 nsites=12; mp-3082 P6_222 (#180) hull=0.0120eV rho=2.566 nsites=18; mp-556372 P6_422 (#181) hull=0.0127eV rho=2.562 nsites=18 theoretical; mp-12372 P2_1/c (#14) hull=0.0135eV rho=3.185 nsites=24; mp-562260 Pnma (#62) hull=0.0563eV rho=3.079 nsites=24; density = MP DFT (calculated, not measured) for the ambient structure anhydrite (Cmcm), mp-4406, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; [Querry-α] 633nm outside n range of main/CaSO4/nk/Querry-alpha.yml; [Querry-β] 633nm outside n range of main/CaSO4/nk/Querry-beta.yml; [Querry-γ] 633nm outside n range of main/CaSO4/nk/Querry-gamma.yml; biaxial; infrared only (2.5-55.6 um)",gamma-axis,,,Querry-γ,,,,,,sulfate,CaSO4
3,Potassium dihydrogen phosphate (KDP),KH2PO4,,516951.0,OP(=O)(O)[O-].[K+],GNSKLFRGEWLPPA-UHFFFAOYSA-M,7778-77-0,136.086,True,mp-696752,I-42d (#122),0.005345232499999852,2.252982123404812,MP_DFT,8048.0,19.36561160339672,0.4706298643083446,2.4459751633505977,8.145684400074508e-05,False,main,KH2PO4,213.79999999999998,1529.0,Zernike-o,o-ray,1.5074005252548215,,e-ray,1.4668569810960128,,Zernike-e,"pubchem: 17 CAS numbers in PUG-View record, took first/primary (7778-77-0); MP candidates (evidence): mp-23959 Fdd2 (#43) hull=0.0000eV rho=2.386 nsites=16; mp-1181168 P2_1 (#4) hull=0.0026eV rho=2.197 nsites=64; mp-24263 P-1 (#2) hull=0.0028eV rho=2.374 nsites=32; mp-757909 Cc (#9) hull=0.0039eV rho=2.189 nsites=64; mp-1223489 Pc (#7) hull=0.0053eV rho=2.201 nsites=32 theoretical; mp-696752 I-42d (#122) hull=0.0053eV rho=2.253 nsites=16; density = MP DFT (calculated, not measured) for the ambient structure tetragonal KDP (I-42d), mp-696752, 5.3 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; lowest-energy MP entry is a different phase (mp-23959 Fdd2); not used; birefringent nonlinear-optical crystal",,,,,,,,,,phosphate,KH2PO4
4,Ammonium dihydrogen phosphate (ADP),NH4H2PO4,,24402.0,[NH4+].OP(=O)(O)[O-],LFVGISIMTYGQHF-UHFFFAOYSA-N,7722-76-1,115.03,True,mp-23672,I-42d (#122),0.0018772562499993484,1.7613705960540718,MP_DFT,8048.0,15.733326890392558,0.15319110628657368,1.4071738587978948,0.00010433018890573381,False,main,NH4H2PO4,213.79999999999998,1529.0,Zernike-o,o-ray,1.5219767563914766,,e-ray,1.4772875124684073,,Zernike-e,"pubchem: 15 CAS numbers in PUG-View record, took first/primary (7722-76-1); MP candidates (evidence): mp-1220029 Fdd2 (#43) hull=0.0000eV rho=1.741 nsites=24 theoretical; mp-23672 I-42d (#122) hull=0.0019eV rho=1.761 nsites=24; mp-23934 P2_12_12_1 (#19) hull=0.0028eV rho=1.566 nsites=48; mp-757388 P2_12_12_1 (#19) hull=0.0264eV rho=1.638 nsites=48 theoretical; mp-1220107 Fdd2 (#43) hull=0.0282eV rho=1.727 nsites=24 theoretical; mp-1190536 I-42d (#122) hull=0.0394eV rho=1.814 nsites=24; density = MP DFT (calculated, not measured) for the ambient structure tetragonal ADP (I-42d), mp-23672, 1.9 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; lowest-energy MP entry is a different phase (mp-1220029 Fdd2); not used; birefringent nonlinear-optical crystal",,,,,,,,,,phosphate,NH4H2PO4
5,Potassium titanyl phosphate (KTP),KTiOPO4,,159454.0,[O-2].[O-]P(=O)([O-])[O-].[K+].[Ti+4],WYOHGPUPVHHUGO-UHFFFAOYSA-K,12690-20-9,197.94,True,mp-6268,Pna2_1 (#33),0.0,3.0398925348946335,MP_DFT,8048.0,25.33916701055127,0.9321893515502122,3.186096400741482,0.0002150940579996951,False,main,KTiOPO4,430.0,3540.0,Kato-α,alpha-axis,1.7619488471295925,,beta-axis,1.771264696951212,,Kato-β,"pubchem: 3 CAS numbers in PUG-View record, took first/primary (12690-20-9); MP candidates (evidence): mp-6268 Pna2_1 (#33) hull=0.0000eV rho=3.040 nsites=64; mp-1198407 Pna2_1 (#33) hull=0.0139eV rho=3.059 nsites=64; density = MP DFT (calculated, not measured) for the ambient structure KTP-type (Pna2_1), mp-6268, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; biaxial nonlinear-optical crystal",gamma-axis,1.8647692868610406,,Kato-γ,,,,,,phosphate,KTiOPO4
6,Rubidium titanyl phosphate (RTP),RbTiOPO4,,,,,,,,mp-6539,Pna2_1 (#33),0.0,3.509171338076788,MP_DFT,8048.0,27.87873493626108,0.9926460006221797,3.2748324072843986,0.00015979639496226894,False,main,RbTiOPO4,400.0,1500.0,Carvajal-α,alpha-axis,1.7969112446080682,,beta-axis,1.8038612970355563,,Carvajal-β,"pubchem: not found by name; MP candidates (evidence): mp-6539 Pna2_1 (#33) hull=0.0000eV rho=3.509 nsites=64; mp-2912165 Pna2_1 (#33) hull=0.4528eV rho=3.427 nsites=64 theoretical; mp-695439 Pna2_1 (#33) hull=0.8413eV rho=3.670 nsites=64 theoretical; density = MP DFT (calculated, not measured) for the ambient structure KTP-type (Pna2_1), mp-6539, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; biaxial nonlinear-optical crystal",gamma-axis,1.894964162756318,,Carvajal-γ,,,,,,phosphate,RbTiOPO4
