epoch,train_loss,val_loss_nk,val_mae_n,val_mae_k,val_loss_xrr
1,2.0209245562553404,0.9580977956453959,1.13290536403656,0.15948894619941711,1.205977201461792
2,1.3801487118005753,0.3592621286710103,0.16451367735862732,0.4570443034172058,0.824231743812561
3,1.0298005059361457,0.3281760662794113,0.13920368254184723,0.132270947098732,0.4604978859424591
4,0.8814512379467487,0.3176239679257075,0.17365455627441406,0.16135038435459137,0.1589200496673584
5,0.7549910426139832,0.3030764510234197,0.1698402762413025,0.2732599973678589,0.003998173400759697
6,0.6441740103065967,0.29022106031576794,0.08408645540475845,0.19462840259075165,0.11054711788892746
7,0.5513354137539863,0.28690432012081146,0.09176372736692429,0.1815737932920456,0.625494122505188
8,0.48568896353244784,0.2775139311949412,0.05719201639294624,0.20560261607170105,1.6974579095840454
9,0.46242628917098044,0.27370476722717285,0.0586632676422596,0.2177080661058426,3.2173938751220703
10,0.4921789452433586,0.270850603779157,0.05540435388684273,0.21228504180908203,4.4587907791137695
11,0.5353448674082756,0.27027347683906555,0.059400249272584915,0.20411993563175201,4.8107781410217285
12,0.5535944923758507,0.26417261858781177,0.054671842604875565,0.2110053449869156,4.38953161239624
13,0.5242760501801967,0.2513929307460785,0.0865115374326706,0.19818738102912903,3.5834124088287354
14,0.48370362967252734,0.232974573969841,0.05990103259682655,0.1790289282798767,2.702893018722534
15,0.4407322097569704,0.19466392695903778,0.08189812302589417,0.14910723268985748,1.9298229217529297
16,0.4056705169379711,0.14962365726629892,0.06503541022539139,0.08197586238384247,1.3368027210235596
17,0.382928928360343,0.11045412222544353,0.06010957434773445,0.07807622849941254,0.9304942488670349
18,0.3745028614997864,0.0990738570690155,0.05716424807906151,0.0747295469045639,0.6682437062263489
19,0.3785437148064375,0.10764190306266148,0.05673357844352722,0.11451327055692673,0.5122000575065613
20,0.3762909047305584,0.11531888941923778,0.04864775016903877,0.08162099868059158,0.43162307143211365
21,0.37982499301433564,0.12590586642424265,0.05535232275724411,0.0827636867761612,0.40677085518836975
22,0.3792267195880413,0.1440247322122256,0.049301501363515854,0.09101464599370956,0.4277229309082031
23,0.3808774821460247,0.13531619062026343,0.09228185564279556,0.07817107439041138,0.4923825263977051
24,0.36686051562428473,0.12495214243729909,0.0879257544875145,0.07729657739400864,0.6030896306037903
25,0.357531413435936,0.12886791427930197,0.05096910521388054,0.1271321177482605,0.7636014819145203
26,0.3496999327093363,0.129372571905454,0.06839381903409958,0.10155566036701202,0.9750092625617981
27,0.34581979997456075,0.12730403492848077,0.07529215514659882,0.08605923503637314,1.2318271398544312
28,0.33421997651457785,0.133813646932443,0.05012301355600357,0.09505221247673035,1.5169590711593628
29,0.33284031972289085,0.13508315632740656,0.05943525210022926,0.0741928443312645,1.800093173980713
30,0.33307930938899516,0.14049272239208221,0.06503859907388687,0.07499347627162933,2.0412912368774414
31,0.3420691013336182,0.12835845599571863,0.06311647593975067,0.10632316023111343,2.2013156414031982
32,0.3362236453220248,0.11818381398916245,0.04886791110038757,0.07666686177253723,2.2550597190856934
33,0.334937908500433,0.12084280202786128,0.0663689598441124,0.15129238367080688,2.2005252838134766
34,0.33336394727230073,0.12983541438976923,0.06441623717546463,0.16970732808113098,2.0580782890319824
35,0.32958958148956297,0.12631526589393616,0.07611855119466782,0.14401397109031677,1.86139976978302
36,0.31645565330982206,0.1143471971154213,0.04724125564098358,0.10669125616550446,1.6460908651351929
37,0.3114273831248283,0.12055869027972221,0.04788213595747948,0.1058417484164238,1.44123113155365
38,0.3046205945312977,0.12003524973988533,0.04720093682408333,0.06739162653684616,1.265895962715149
39,0.3013919210061431,0.11607514321804047,0.045373789966106415,0.09419045597314835,1.1297448873519897
40,0.2962533235549927,0.11448436851302783,0.053218815475702286,0.09030672907829285,1.0356918573379517
41,0.29358936119824647,0.11308636516332626,0.04417579993605614,0.05923769623041153,0.9828323721885681
42,0.28917734045535326,0.11828520894050598,0.052778419107198715,0.05801364406943321,0.9687289595603943
43,0.2868520334362984,0.11807200064261754,0.05899140611290932,0.06598221510648727,0.9901780486106873
44,0.28354627154767514,0.11455431083838145,0.04635554552078247,0.05260699987411499,1.043650507926941
45,0.2814792888239026,0.11783326293031375,0.04276890680193901,0.07969607412815094,1.124579668045044
46,0.2791503550484776,0.11518666024009387,0.06296514719724655,0.06957866996526718,1.226443886756897
47,0.2785564841935411,0.10689248765508334,0.05157441645860672,0.08397207409143448,1.3400055170059204
48,0.2777832742780447,0.1134107733766238,0.040830571204423904,0.07973207533359528,1.453276515007019
49,0.2758535884320736,0.1126375508805116,0.06838095188140869,0.06082716956734657,1.552639126777649
50,0.2759020760655403,0.11945958187182744,0.09019243717193604,0.05007866770029068,1.6251845359802246
51,0.27584504149854183,0.11344961325327556,0.04628901556134224,0.048758551478385925,1.661633014678955
52,0.2755300499498844,0.11401132866740227,0.10737009346485138,0.051359422504901886,1.658674716949463
53,0.27532427087426187,0.11723522966106732,0.040913719683885574,0.07058057934045792,1.6197023391723633
54,0.2729892199859023,0.11089702447255452,0.04262517765164375,0.07838473469018936,1.5535953044891357
55,0.2734387954697013,0.10722052802642186,0.052420128136873245,0.05815581977367401,1.4722102880477905
56,0.2729227222502232,0.1158706545829773,0.041029322892427444,0.0599096454679966,1.3876608610153198
57,0.2709977090358734,0.11830813313523929,0.05966651439666748,0.05210486426949501,1.3102682828903198
58,0.2701046157628298,0.11278056353330612,0.06185073032975197,0.049200501292943954,1.2475448846817017
59,0.2711091825738549,0.12154722958803177,0.09045812487602234,0.07300504297018051,1.2040663957595825
60,0.2716677330434322,0.11577108254035313,0.07708996534347534,0.04914453998208046,1.1818300485610962
61,0.2704060340300202,0.11472027500470479,0.0880315825343132,0.06425759196281433,1.1803863048553467
62,0.26923035830259323,0.12653366227944693,0.057267673313617706,0.06805992126464844,1.1980040073394775
63,0.2676082823425531,0.1228172741830349,0.06375306844711304,0.05944771319627762,1.2316737174987793
64,0.26493003042414787,0.1083495281636715,0.04786108061671257,0.05565528944134712,1.2770150899887085
65,0.264240416046232,0.11390721549590428,0.042331136763095856,0.06518872827291489,1.3245266675949097
66,0.26305035753175615,0.12339075033863385,0.0431668646633625,0.062262289226055145,1.3693833351135254
67,0.26318510426208375,0.11302173386017482,0.0579548254609108,0.048293206840753555,1.404929518699646
68,0.2612092664465308,0.10812216252088547,0.05021640285849571,0.04699335992336273,1.4256178140640259
69,0.2606804588809609,0.10457103699445724,0.04082911089062691,0.04829641059041023,1.4282100200653076
70,0.2602989967912436,0.11531731486320496,0.04132983088493347,0.04910517483949661,1.412611961364746
71,0.25955072725191713,0.11234126488367717,0.06228455528616905,0.08889414370059967,1.3819581270217896
72,0.25983324702829125,0.11022414763768514,0.05361129343509674,0.04991842806339264,1.3419156074523926
73,0.2579963060095906,0.10661416749159495,0.08834610879421234,0.048543911427259445,1.3014702796936035
